title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Автосервис, Автомойка",200,"Иркутская обл., Иркутск, Качугский тракт, 7-й километр, 2",р-н Правобережный,52.351879,104.325684,1000 м²,возможна,1,4.5 м,без отделки,nan,nan,прямая,есть,11 мес.,nan,другой,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/avtoservis_avtomoyka_7480121082?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,500,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 255 м²",250000,"Иркутская обл., Иркутск, ул. Розы Люксембург, 263В",р-н Ленинский,52.352621,104.162451,255 м²,nan,2,3.5 м,чистовая,nan,nan,прямая,есть,nan,nan,торговый центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_255_m_2556387277?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,20,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 890 м²",850,"Иркутская обл., Иркутск, ул. Красных Мадьяр, 60",р-н Октябрьский,52.27434123150452,104.30637440385608,890 м²,возможна,2,3 м,офисная,250 кВт,"кабинетная, открытая",прямая,есть,12 мес.,nan,административное здание,"в здании, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_890_m_7459527936?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 13.1 м²",9825,"Иркутская обл., Иркутск, ул. Марата, 22",р-н Правобережный,52.285583,104.27731,13.1 м²,nan,цокольный,2.4 м,офисная,"10 кВт, можно увеличить",nan,прямая,nan,11 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_13.1_m_7360170993?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 898 м²",950000,"Иркутская обл., Иркутск, ул. Сурнова, 24/1",р-н Правобережный,52.309563,104.291341,898 м²,nan,1,5 м,офисная,nan,nan,прямая,есть,6 мес.,nan,административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_898_m_4268883689?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Услуги, Офис, Юр.адрес, 11 м²",12999,"Иркутская обл., Иркутск, Советская ул., 109Б",р-н Правобережный,52.280403,104.339157,11 м²,nan,3,3 м,офисная,nan,кабинетная,прямая,nan,12 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/uslugi_ofis_yur.adres_11_m_2129446032?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 70 кв.м",105000,"Иркутская обл., Иркутск, ул. Ржанова, 45/2",р-н Октябрьский,52.25215149,104.3637466,70 м²,nan,1,nan,чистовая,nan,nan,прямая,есть,11 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_70_kv.m_7479468661?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 58.9 м²",62000,"Иркутская обл., Иркутск, 4-я Железнодорожная ул., 57",р-н Свердловский,52.27920151,104.2479172,58.9 м²,nan,1,nan,чистовая,nan,открытая,прямая,nan,nan,nan,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_58.9_m_4030704378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 15 м²",19000,"Иркутская обл., Иркутск, Байкальская ул., 188/1",р-н Октябрьский,52.25878796907772,104.32211861051373,15 м²,nan,цокольный,3 м,офисная,15 кВт,nan,прямая,есть,nan,коммунальные,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_15_m_4492932008?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 27.9 м²",25110,"Иркутская обл., Иркутск, Красноказачья ул., 119",р-н Октябрьский,52.26851426335112,104.32984878042602,27.9 м²,nan,2,nan,офисная,nan,"кабинетная, открытая",прямая,nan,nan,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_27.9_m_7442472740?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Офис,25000,"Иркутская обл., Иркутский муниципальный округ, пос. Новая Разводная, Светлая ул., 42",,52.25268809969249,104.39346563784366,32 м²,nan,2,3.5 м,офисная,nan,"кабинетная, открытая",прямая,есть,11 мес.,коммунальные,административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_7319566513?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,50000,"Иркутская обл., Иркутск, Байкальская ул., 107А/3",р-н Октябрьский,52.26684189,104.3106079,41.3 м²,nan,1,3.2 м,чистовая,nan,nan,прямая,есть,1 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7412369545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговая площадь, 200 м²",2349,"Иркутская обл., Иркутск, ул. Литвинова, 17",р-н Правобережный,52.282013,104.294782,200 м²,возможна,1,4 м,чистовая,nan,nan,прямая,nan,11 мес.,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_200_m_3114411157?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,центральное,nan,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Офис,11000,"Иркутская обл., Иркутск, ул. Свердлова, 43А",р-н Правобережный,52.28849792,104.2896194,15 м²,nan,цокольный,3 м,чистовая,nan,кабинетная,прямая,есть,nan,коммунальные,бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_7455896737?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Торговая площадь,2700,"Иркутская обл., Иркутск, ул. Баумана, 233Б",р-н Ленинский,52.35132363763024,104.14969043772956,26.6 м²,nan,1,4 м,чистовая,15 кВт,nan,прямая,есть,11 мес.,nan,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7453584766?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,100,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Автосервис,145000,"Иркутская обл., Иркутск, Старо-Кузьмихинская ул., 58",р-н Свердловский,52.2406410548034,104.28472848649838,210 м²,nan,1,5 м,без отделки,nan,nan,прямая,есть,12 мес.,эксплуатационные,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/avtoservis_7433830595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 97 м²",65000,"Иркутская обл., Иркутск, ул. Богдана Хмельницкого, 3",р-н Правобережный,52.283172147480144,104.28784686401808,97 м²,nan,1,4 м,чистовая,nan,nan,прямая,nan,nan,nan,административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_97_m_3443014981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,90000,"Иркутская обл., Иркутск, Байкальская ул., 236Б/7",р-н Октябрьский,52.2525177,104.3280716,135 м²,nan,цокольный,nan,офисная,15 кВт,nan,прямая,есть,11 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7466077098?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисы: 21м², 40м², 112 м². Склады 30м², 37м²",1050,"Иркутская обл., Иркутск, Красноказачья ул., 115",р-н Октябрьский,52.268336,104.327337,21 м²,nan,1,3.5 м,офисная,nan,"кабинетная, открытая",прямая,nan,11 мес.,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisy_21m_40m_112_m._sklady_30m_37m_7403897356?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 10 м²",5500,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 19",р-н Правобережный,52.289891,104.299543,10 м²,nan,цокольный,nan,без отделки,nan,кабинетная,прямая,есть,nan,"коммунальные, эксплуатационные",бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_10_m_943441313?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 220 м²",176000,"Иркутская обл., Иркутск, ул. Станиславского, 1/2",р-н Октябрьский,52.259674362661535,104.32687378210298,220 м²,возможна,1,3 м,чистовая,"30 кВт, можно увеличить",nan,прямая,есть,11 мес.,nan,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_220_m_7418701148?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,с улицы,центральное,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 25 м²",850,"Иркутская обл., Иркутск, Горка, 5",р-н Ленинский,52.366741,104.154366,25 м²,nan,1,3 м,офисная,nan,кабинетная,прямая,есть,nan,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_25_m_1813232017?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,A,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 23.9 м²",40000,"Иркутская обл., Иркутск, Старо-Кузьмихинская ул., 22/1",р-н Свердловский,52.2462616,104.2781143,23.9 м²,nan,1,2.8 м,чистовая,nan,кабинетная,прямая,есть,11 мес.,nan,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_23.9_m_7450785114?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 21 м²",12000,"Иркутская обл., Иркутск, ул. Блюхера, 12",р-н Ленинский,52.362302,104.166916,21 м²,nan,2,3 м,офисная,nan,кабинетная,прямая,есть,nan,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_21_m_2422776542?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJBM280VzZ5RklXc3UyakxYIjt9A7DhvD8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Производство, 720 м²",350,"Иркутская обл., Иркутск, Камышовая ул., 17",р-н Ленинский,52.31640244,104.2586441,720 м²,возможна,1,3.5 м,nan,40 кВт,nan,прямая,есть,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/proizvodstvo_720_m_4576312183?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 58 м²",750,"Иркутская обл., Иркутск, Трактовая ул., 18/24",р-н Ленинский,52.31920360456719,104.23501147956136,58 м²,nan,2,3 м,офисная,nan,кабинетная,прямая,есть,1 мес.,эксплуатационные,бизнес-центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_58_m_1931817168?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,A,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 25 м²",25000,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 22В",р-н Правобережный,52.290006,104.297387,25 м²,nan,2,nan,офисная,nan,кабинетная,субаренда,nan,nan,nan,административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_25_m_4478664246?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Торговая площадь,100000,"Иркутская обл., Иркутск, Севастопольская ул., 151",р-н Ленинский,52.34638977,104.1754074,140 м²,nan,1,nan,чистовая,nan,nan,прямая,есть,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7432808690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офисное помещение, 20 кв.м",16500,"Иркутская обл., Иркутск, Волжская ул., 14А",р-н Октябрьский,52.263872,104.313736,20 м²,nan,2,nan,офисная,nan,кабинетная,прямая,nan,nan,nan,торговый центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofisnoe_pomeschenie_20_kv.m_7462427029?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Склад, 450 м²",650,"Иркутская обл., Иркутск, Трактовая ул., 18/42",р-н Ленинский,52.3156401010911,104.249829978078,450 м²,nan,1,8 м,чистовая,nan,nan,прямая,есть,11 мес.,nan,другой,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_450_m_2210938560?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,A,nan,nan,автономное,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Первая линия на Депутатской ЖК новый,800,"Иркутская обл., Иркутск, Депутатская ул., 55",р-н Октябрьский,52.26717758,104.3256912,256 м²,nan,цокольный,3.5 м,чистовая,nan,nan,прямая,есть,24 мес.,nan,административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pervaya_liniya_na_deputatskoy_zhk_novyy_4866228627?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,30,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 24 м²",30000,"Иркутская обл., Иркутск, Советская ул., 176Б",р-н Октябрьский,52.279511,104.341072,24 м²,nan,6,nan,офисная,nan,кабинетная,прямая,nan,nan,"коммунальные, эксплуатационные",бизнес-центр,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_24_m_7449587378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,30000,"Иркутская обл., Иркутск, Байкальская ул., 133",р-н Октябрьский,52.26197433,104.3171158,116 м²,nan,1,2.5 м,чистовая,15 кВт,nan,прямая,есть,9 мес.,"коммунальные, эксплуатационные",жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7357825692?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,5,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 50 м²",600,"Иркутская обл., Иркутск, мкр-н Первомайский, ул. Вампилова, 14А",р-н Свердловский,52.26066208,104.2416382,50 м²,возможна,2,2.7 м,чистовая,nan,nan,прямая,есть,6 мес.,nan,торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_50_m_3291087353?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Торговля, Офис, Другое 50 м² - 92 м²",1200,"Иркутская обл., Иркутск, Верхняя наб., 145/6",р-н Октябрьский,52.25700899999971,104.308357558197,50 м²,возможна,1,3 м,чистовая,"15 кВт, можно увеличить",nan,прямая,nan,11 мес.,nan,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovlya_ofis_drugoe_50_m_-_92_m_7436617228?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,250,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Торговая площадь,18000,"Иркутская обл., Иркутск, ул. Румянцева, 5/2",р-н Свердловский,52.28398514,104.2552643,10 м²,nan,1,2.3 м,офисная,nan,nan,прямая,nan,6 мес.,nan,жилой дом,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_7442802641?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 420 м²",450,"Иркутская обл., Иркутск, ул. Воровского, 19Б",р-н Ленинский,52.339071,104.24939,420 м²,nan,2,nan,без отделки,nan,nan,прямая,nan,nan,nan,другой,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_420_m_4624762413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,со двора,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Помещение свободного назначения, 56.3 м²",25000,"Иркутская обл., Иркутск, ул. Розы Люксембург, 251",р-н Ленинский,52.353553390435,104.164045626984,56.3 м²,nan,1,2.6 м,офисная,nan,nan,прямая,есть,1 мес.,nan,жилой дом,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_svobodnogo_naznacheniya_56.3_m_1612246659?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 22 м²",22000,"Иркутская обл., Иркутск, Байкальская ул., 160А",р-н Октябрьский,52.262411,104.313305,22 м²,nan,1,2.8 м,офисная,15 кВт,nan,прямая,nan,11 мес.,nan,жилой дом,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_22_m_4447487471?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJtb2E5Y2FQcENpSzVXYXZFIjt9F7i9oz8AAAA,nan,nan,с улицы,центральное,есть,первая линия,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
