Название здания,Полный адрес,Цена,Цена за квадратный метр,Площадь (м²),Тип здания,lat,lon
Офис,"Иркутская обл., Иркутск, Киевская ул., 14",15000,1363.6363636363637,11.0,другой,52.280459,104.288817
Другое,"Иркутская обл., Иркутск, Киевская ул., 7",276000,1200.0,230.0,жилой дом,52.281836,104.287559
Другое,"Иркутская обл., Иркутск, ул. 30-й Иркутской Дивизии, 26/3",49999,877.1754385964912,57.0,жилой дом,52.26755099102093,104.33516572158716
Другое,"Иркутская обл., Иркутск, мкр-н Юбилейный, 25",30000,447.76119402985074,67.0,другой,52.224787,104.302588
Свободного назначения,"Иркутская обл., Иркутск, ул. Юрия Левитанского, 12",1650,35.1063829787234,47.0,жилой дом,52.251369,104.333742
Офис,"Иркутская обл., Иркутск, ул. Урицкого, 11А",94770,900.0,105.3,административное здание,52.283974,104.291898
Офис,"Иркутская обл., Иркутский муниципальный округ, пос. Новая Разводная, Светлая ул., 38",20000,555.5555555555555,36.0,административное здание,52.25304071734357,104.39285413197258
Торговая площадь,"Иркутская обл., Иркутск, ул. Чехова, 19",29408,1987.0270270270269,14.8,торговый центр,52.284349,104.295006
Офис,"Иркутская обл., Иркутск, Горная ул., 24",247170,1100.0,224.7,бизнес-центр,52.281528,104.305067
Свободного назначения,"Иркутская обл., Иркутск, Гравийная ул., 22",16429,1208.014705882353,13.6,бизнес-центр,52.3612354102032,104.208655169312
Склад,"Иркутская обл., Иркутск, Полярная ул., 117",275000,250.0,1100.0,другой,52.343731,104.26326
Офис,"Иркутская обл., Иркутск, ул. Розы Люксембург, 186",150000,352.94117647058823,425.0,бизнес-центр,52.357198,104.158849
Другое,"Иркутская обл., Иркутск, 1-й Советский пер., 1Б",500,12.916559028674762,38.71,другой,52.32194236710651,104.19269699999998
Торговая площадь,"Иркутская обл., Иркутск, мкр-н Юбилейный, 19/1",520650,4500.0,115.7,торговый центр,52.227534,104.304025
Склад,"Иркутская обл., Иркутск, ул. Клары Цеткин, 9А",300,0.7692307692307693,390.0,административное здание,52.277214,104.255768
Здание,"Иркутская обл., Иркутск, ул. Баррикад, 209А/1",650,0.8463541666666666,768.0,административное здание,52.29188563419381,104.36339623518438
Другое,"Иркутская обл., Иркутск, Трактовая ул., 7",500,0.24342745861733203,2054.0,торговый центр,52.312641,104.235987
Офис,"Иркутская обл., Иркутск, ул. Октябрьской Революции, 1к7А",1200,2.0,600.0,бизнес-центр,52.293323942139736,104.29442413491816
Свободного назначения,"Иркутская обл., Иркутск, ул. Розы Люксембург, 263В",700,2.0,350.0,торговый центр,52.35262298583984,104.1624526977539
Офис,"Иркутская обл., Иркутск, ул. Фридриха Энгельса, 8",22000,846.1538461538462,26.0,административное здание,52.284999,104.30425
Свободного назначения,"Иркутская обл., Иркутск, ул. Горького, 42",775500,550.0,1410.0,торговый центр,52.285429,104.288476
Другое,"Иркутская обл., Иркутск, 18-й Советский пер., 1",19500,1300.0,15.0,торговый центр,52.350845,104.170392
Универсальное помещение,"Иркутская обл., Иркутск, ул. Свердлова, 23А",42000,1200.0,35.0,бизнес-центр,52.284497,104.281747
Универсальное помещение,"Иркутская обл., Иркутск, ул. Дзержинского, 10",45000,603.2171581769437,74.6,торговый центр,52.279236,104.288161
Универсальное помещение,"Иркутская обл., Иркутск, ул. Баумана, 172/6",43000,700.3257328990228,61.4,жилой дом,52.345123,104.174417
Офис,"Иркутская обл., Иркутск, ул. Трилиссера, 89",70400,800.0,88.0,другой,52.275583,104.316234
Универсальное помещение,"Иркутская обл., Иркутск, мкр-н Крылатый, 19",50000,596.6587112171837,83.8,другой,52.267625,104.340398
Офис,"Иркутская обл., Иркутск, б-р Гагарина, 40",25440,1200.0,21.2,бизнес-центр,52.280531,104.274884
Свободного назначения,"Иркутская обл., Иркутск, Советская ул., 65",40000,666.6666666666666,60.0,торговый центр,52.28046417,104.3262787
Офис,"Иркутская обл., Иркутск, Байкальская ул., 19А",15410,670.0,23.0,административное здание,52.27969742,104.2996445
Офис,"Иркутская обл., Иркутск, Красноярская ул., 11А",750,18.75,40.0,бизнес-центр,52.282707,104.330454
Свободного назначения,"Иркутская обл., Иркутск, ул. Чехова, 19",26772,1200.0,22.31,торговый центр,52.284349,104.295006
Универсальное помещение,"Иркутская обл., Иркутск, мкр-н Крылатый, 9",54000,900.0,60.0,жилой дом,52.267217,104.33985
Универсальное помещение,"Иркутская обл., Иркутск, ул. Каландаришвили, 10",70000,437.5,160.0,другой,52.288249,104.291377
Универсальное помещение,"Иркутская обл., Иркутск, мкр-н Крылатый, 9",54000,900.0,60.0,жилой дом,52.267217,104.33985
Свободного назначения,"Иркутская обл., Иркутск, Байкальская ул., 265Б",999,6.66,150.0,торговый центр,52.25379720807122,104.35796256085204
Другое,"Иркутская обл., Иркутск, Байкальская ул., 38",40000,2000.0,20.0,другой,52.2746319390893,104.304308305583
Офис,"Иркутская обл., Иркутск, мкр-н Крылатый, 13",30000,898.2035928143713,33.4,жилой дом,52.26768,104.339554
Офис,"Иркутская обл., Иркутск, Советская ул., 27",12000,2272.7272727272725,5.28,бизнес-центр,52.27761,104.308257
Другое,"Иркутская обл., Иркутск, 1-я Московская ул., 31А",45000,750.0,60.0,другой,52.323959,104.262981
Другое,"Иркутская обл., Иркутск, ул. Желябова, 27Б",20250,750.0,27.0,бизнес-центр,52.2907,104.290685
Универсальное помещение,"Иркутская обл., Иркутск, ул. Пискунова, 142/7",60000,1000.0,60.0,жилой дом,52.271411,104.337919
Универсальное помещение,"Иркутская обл., Иркутск, Красноярская ул., 72А",53200,700.0,76.0,другой,52.269356,104.330463
Свободного назначения,"Иркутская обл., Иркутск, территория Гусарская, 2",95000,1554.8281505728314,61.1,жилой дом,52.276982,104.349417
Офис,"Иркутская обл., Иркутск, ул. Софьи Перовской, 30",4200,350.0,12.0,административное здание,52.281368,104.301178
Офис,"Иркутская обл., Иркутск, б-р Гагарина, 40",51600,1200.0,43.0,бизнес-центр,52.280531,104.274884
Офис,"Иркутская обл., Иркутск, ул. Баррикад, 60С",450,12.5,36.0,торговый центр,52.29091,104.338386
Другое,"Иркутская обл., Иркутск, Дальневосточная ул., 154/2",100000,1059.322033898305,94.4,жилой дом,52.252753,104.321336
Другое,"Иркутская обл., Иркутск, ул. Румянцева, 5/3",48000,480.0,100.0,жилой дом,52.283754,104.255247
Здание,"Иркутская обл., Иркутский муниципальный округ, пос. Малая Топка, Ключевая ул., 1А",130,0.29988465974625145,433.5,другой,52.339968,104.320761
Универсальное помещение,"Иркутская обл., Иркутск, ул. Розы Люксембург, 217А",1000,93.45794392523365,10.7,другой,52.350339,104.174084
Универсальное помещение,"Иркутская обл., Иркутск, ул. Каландаришвили, 10",50000,416.6666666666667,120.0,другой,52.288249,104.291377
Офис,"Иркутская обл., Иркутский р-н, Молодёжное муниципальное образование, пос. Новая Разводная, ул. Строителей, 1А",30000,1000.0,30.0,бизнес-центр,52.251562,104.40231
Другое,"Иркутская обл., Иркутск, ул. Тимирязева, 38",60000,1500.0,40.0,другой,52.283886,104.299157
Универсальное помещение,"Иркутская обл., Иркутск, пр. Юрия Тена, 26/2",80000,552.1048999309869,144.9,жилой дом,52.252224,104.260179
Свободного назначения,"Иркутская обл., Иркутск, ул. Урицкого, 11А",54000,1000.0,54.0,торговый центр,52.283974,104.291898
Универсальное помещение,"Иркутская обл., Иркутск, ул. Пискунова, 142/2",39000,1300.0,30.0,жилой дом,52.270695,104.336787
